iter	Passed	Remaining
0	2	201
1	3	179
2	4	156
3	6	144
4	7	143
5	8	137
6	9	131
7	11	126
8	12	127
9	13	124
10	15	121
11	16	121
12	18	120
13	19	118
14	20	118
15	22	118
16	24	117
17	25	115
18	26	113
19	27	111
20	28	108
21	30	107
22	31	106
23	32	104
24	34	102
25	35	102
26	37	100
27	38	98
28	39	97
29	41	95
30	42	94
31	43	92
32	44	91
33	46	90
34	47	89
35	49	88
36	50	86
37	52	85
38	55	86
39	56	85
40	58	84
41	59	82
42	62	82
43	64	81
44	65	80
45	67	79
46	69	78
47	71	76
48	73	76
49	75	75
50	77	74
51	78	72
52	80	71
53	81	69
54	82	67
55	83	65
56	84	63
57	85	61
58	87	60
59	88	58
60	90	57
61	91	56
62	93	54
63	94	52
64	95	51
65	96	49
66	97	48
67	99	46
68	100	45
69	101	43
70	102	42
71	104	40
72	106	39
73	107	37
74	108	36
75	110	34
76	111	33
77	112	31
78	113	30
79	115	28
80	116	27
81	117	25
82	119	24
83	121	23
84	122	21
85	123	20
86	125	18
87	126	17
88	127	15
89	129	14
90	131	12
91	132	11
92	134	10
93	135	8
94	136	7
95	137	5
96	138	4
97	139	2
98	140	1
99	142	0
